-----------EB Tester Software-----------,,,,,,
*Step,Mode,Capacity,Energy,,,
*1-1,D-CC,0.006,0.021,,,
*1-2,Wait,0,0,,,
*1-3,C-CV,0.11,0.398,,,
*1-4,Wait,0,0,,,
*2-1,D-CC,0.006,0.022,,,
*2-2,Wait,0,0,,,
*2-3,C-CV,0.015,0.055,,,
*2-4,Wait,0,0,,totDisAh,0.0300
*3-1,D-CC,0.006,0.022,,totChgAh,0.1610
*3-2,Wait,0,0,,,
*3-3,C-CV,0.013,0.047,,,
*3-4,Wait,0,0,,,
*4-1,D-CC,0.006,0.022,,,
*4-2,Wait,0,0,,,
*4-3,C-CV,0.012,0.044,,,
*4-4,Wait,0,0,,,
*5-1,D-CC,0.006,0.022,,,
*5-2,Wait,0,0,,,
*5-3,C-CV,0.011,0.04,,,
*5-4,Wait,0,0,,,
Title:EB Tester Software,,,,,,
------------www.zketech.com--------------,,,,,,
Time(S),Cur(A),Vol(V),,,,
0,0,3.552,,,,
0,0,3.552,,,,
1,0.36,3.552,,,,
3,0.36,3.551,,,,
5,0.36,3.545,,,,
7,0.36,3.544,,,,
9,0.36,3.544,,,,
11,0.36,3.544,,,,
13,0.36,3.543,,,,
15,0.36,3.543,,,,
17,0.36,3.537,,,,
19,0.36,3.537,,,,
21,0.36,3.537,,,,
23,0.36,3.537,,,,
25,0.36,3.537,,,,
27,0.36,3.536,,,,
29,0.36,3.536,,,,
31,0.36,3.533,,,,
33,0.36,3.53,,,,
35,0.36,3.53,,,,
37,0.36,3.53,,,,
39,0.36,3.53,,,,
41,0.36,3.53,,,,
43,0.36,3.529,,,,
45,0.36,3.529,,,,
47,0.36,3.529,,,,
49,0.36,3.525,,,,
51,0.36,3.523,,,,
53,0.36,3.523,,,,
55,0.36,3.523,,,,
57,0.36,3.523,,,,
59,0.36,3.523,,,,
59,0.36,3.523,,,,
59,0.36,3.523,,,,
61,0,3.523,,,,
63,0,3.523,,,,
65,0,3.523,,,,
67,0,3.523,,,,
69,0,3.523,,,,
71,0,3.523,,,,
73,0,3.523,,,,
75,0,3.523,,,,
77,0,3.523,,,,
79,0,3.523,,,,
81,0,3.523,,,,
83,0,3.523,,,,
85,0,3.523,,,,
87,0,3.523,,,,
89,0,3.523,,,,
91,0,3.523,,,,
93,0,3.523,,,,
95,0,3.523,,,,
97,0,3.523,,,,
99,0,3.523,,,,
101,0,3.523,,,,
103,0,3.523,,,,
105,0,3.523,,,,
107,0,3.523,,,,
109,0,3.523,,,,
111,0,3.523,,,,
113,0,3.523,,,,
115,0,3.523,,,,
117,0,3.523,,,,
119,0,3.523,,,,
121,0,3.523,,,,
123,0,3.523,,,,
124,0.36,3.523,,,,
126,0.36,3.523,,,,
128,0.36,3.525,,,,
130,0.36,3.529,,,,
132,0.36,3.529,,,,
134,0.36,3.529,,,,
136,0.36,3.53,,,,
138,0.36,3.53,,,,
140,0.36,3.53,,,,
142,0.36,3.53,,,,
144,0.36,3.53,,,,
146,0.36,3.53,,,,
148,0.36,3.53,,,,
150,0.36,3.53,,,,
152,0.36,3.532,,,,
154,0.36,3.534,,,,
156,0.36,3.536,,,,
158,0.36,3.536,,,,
160,0.36,3.536,,,,
162,0.36,3.536,,,,
164,0.36,3.537,,,,
166,0.36,3.537,,,,
168,0.36,3.537,,,,
170,0.36,3.537,,,,
172,0.36,3.537,,,,
174,0.36,3.537,,,,
176,0.36,3.537,,,,
178,0.36,3.537,,,,
180,0.36,3.537,,,,
182,0.36,3.537,,,,
184,0.36,3.537,,,,
186,0.36,3.537,,,,
188,0.36,3.537,,,,
190,0.36,3.538,,,,
192,0.36,3.54,,,,
194,0.36,3.542,,,,
196,0.36,3.543,,,,
198,0.36,3.543,,,,
200,0.36,3.543,,,,
202,0.36,3.543,,,,
204,0.36,3.543,,,,
206,0.36,3.543,,,,
208,0.36,3.544,,,,
210,0.36,3.544,,,,
212,0.36,3.544,,,,
214,0.36,3.544,,,,
216,0.36,3.544,,,,
218,0.36,3.544,,,,
220,0.36,3.544,,,,
222,0.36,3.544,,,,
224,0.36,3.544,,,,
226,0.36,3.544,,,,
228,0.36,3.544,,,,
230,0.36,3.544,,,,
232,0.36,3.544,,,,
234,0.36,3.544,,,,
236,0.36,3.545,,,,
238,0.36,3.547,,,,
240,0.36,3.549,,,,
242,0.36,3.551,,,,
244,0.36,3.551,,,,
246,0.36,3.551,,,,
248,0.36,3.551,,,,
250,0.36,3.551,,,,
252,0.36,3.551,,,,
254,0.36,3.551,,,,
256,0.36,3.552,,,,
258,0.36,3.552,,,,
260,0.36,3.552,,,,
262,0.36,3.552,,,,
264,0.36,3.552,,,,
266,0.36,3.552,,,,
268,0.36,3.552,,,,
270,0.36,3.552,,,,
272,0.36,3.552,,,,
274,0.36,3.552,,,,
276,0.36,3.552,,,,
278,0.36,3.552,,,,
280,0.36,3.552,,,,
282,0.36,3.552,,,,
284,0.36,3.552,,,,
286,0.36,3.552,,,,
288,0.36,3.552,,,,
300,0.36,3.558,,,,
302,0.36,3.558,,,,
304,0.36,3.558,,,,
306,0.36,3.559,,,,
308,0.36,3.559,,,,
320,0.36,3.559,,,,
322,0.36,3.559,,,,
324,0.36,3.559,,,,
326,0.36,3.559,,,,
328,0.36,3.559,,,,
330,0.36,3.559,,,,
332,0.36,3.559,,,,
334,0.36,3.559,,,,
336,0.36,3.56,,,,
338,0.36,3.562,,,,
340,0.36,3.563,,,,
342,0.36,3.564,,,,
344,0.36,3.565,,,,
346,0.36,3.565,,,,
348,0.36,3.565,,,,
350,0.36,3.565,,,,
352,0.36,3.565,,,,
354,0.36,3.565,,,,
356,0.36,3.566,,,,
358,0.36,3.566,,,,
360,0.36,3.566,,,,
362,0.36,3.566,,,,
364,0.36,3.566,,,,
366,0.36,3.566,,,,
368,0.36,3.566,,,,
370,0.36,3.566,,,,
372,0.36,3.566,,,,
374,0.36,3.566,,,,
376,0.36,3.566,,,,
378,0.36,3.566,,,,
380,0.36,3.566,,,,
382,0.36,3.566,,,,
384,0.36,3.566,,,,
386,0.36,3.566,,,,
388,0.36,3.568,,,,
390,0.36,3.57,,,,
392,0.36,3.572,,,,
394,0.36,3.573,,,,
396,0.36,3.573,,,,
398,0.36,3.573,,,,
400,0.36,3.573,,,,
402,0.36,3.573,,,,
404,0.36,3.573,,,,
406,0.36,3.574,,,,
408,0.36,3.574,,,,
410,0.36,3.574,,,,
412,0.36,3.574,,,,
414,0.36,3.574,,,,
416,0.36,3.574,,,,
418,0.36,3.574,,,,
420,0.36,3.574,,,,
422,0.36,3.574,,,,
424,0.36,3.574,,,,
426,0.36,3.574,,,,
428,0.36,3.574,,,,
430,0.36,3.574,,,,
432,0.36,3.574,,,,
434,0.36,3.575,,,,
436,0.36,3.577,,,,
438,0.36,3.579,,,,
440,0.36,3.58,,,,
442,0.36,3.58,,,,
444,0.36,3.58,,,,
446,0.36,3.58,,,,
448,0.36,3.58,,,,
450,0.36,3.581,,,,
452,0.36,3.581,,,,
454,0.36,3.581,,,,
456,0.36,3.581,,,,
458,0.36,3.581,,,,
460,0.36,3.581,,,,
462,0.36,3.581,,,,
464,0.36,3.581,,,,
466,0.36,3.581,,,,
468,0.36,3.581,,,,
470,0.36,3.581,,,,
472,0.36,3.581,,,,
474,0.36,3.581,,,,
476,0.36,3.581,,,,
478,0.36,3.581,,,,
480,0.36,3.581,,,,
482,0.36,3.583,,,,
484,0.36,3.585,,,,
486,0.36,3.586,,,,
488,0.36,3.587,,,,
490,0.36,3.587,,,,
492,0.36,3.587,,,,
494,0.36,3.587,,,,
496,0.36,3.587,,,,
498,0.36,3.588,,,,
500,0.36,3.588,,,,
502,0.36,3.588,,,,
504,0.36,3.588,,,,
506,0.36,3.588,,,,
508,0.36,3.588,,,,
510,0.36,3.588,,,,
512,0.36,3.588,,,,
514,0.36,3.588,,,,
516,0.36,3.588,,,,
518,0.36,3.588,,,,
520,0.36,3.588,,,,
522,0.36,3.589,,,,
524,0.36,3.591,,,,
526,0.36,3.593,,,,
528,0.36,3.594,,,,
530,0.36,3.594,,,,
532,0.36,3.594,,,,
534,0.36,3.594,,,,
536,0.36,3.594,,,,
538,0.36,3.594,,,,
540,0.36,3.595,,,,
542,0.36,3.595,,,,
544,0.36,3.595,,,,
546,0.36,3.595,,,,
548,0.36,3.595,,,,
550,0.36,3.595,,,,
552,0.36,3.595,,,,
554,0.36,3.595,,,,
556,0.36,3.595,,,,
558,0.36,3.595,,,,
560,0.36,3.595,,,,
562,0.36,3.595,,,,
564,0.36,3.595,,,,
566,0.36,3.597,,,,
568,0.36,3.599,,,,
570,0.36,3.601,,,,
572,0.36,3.602,,,,
574,0.36,3.602,,,,
576,0.36,3.602,,,,
578,0.36,3.602,,,,
580,0.36,3.603,,,,
582,0.36,3.603,,,,
584,0.36,3.603,,,,
586,0.36,3.603,,,,
588,0.36,3.603,,,,
590,0.36,3.603,,,,
592,0.36,3.603,,,,
594,0.36,3.603,,,,
596,0.36,3.603,,,,
598,0.36,3.603,,,,
600,0.36,3.603,,,,
602,0.36,3.603,,,,
604,0.36,3.604,,,,
606,0.36,3.605,,,,
608,0.36,3.607,,,,
610,0.36,3.609,,,,
612,0.36,3.609,,,,
614,0.36,3.609,,,,
616,0.36,3.609,,,,
618,0.36,3.609,,,,
620,0.36,3.609,,,,
622,0.36,3.61,,,,
624,0.36,3.61,,,,
626,0.36,3.61,,,,
628,0.36,3.61,,,,
630,0.36,3.61,,,,
632,0.36,3.61,,,,
634,0.36,3.61,,,,
636,0.36,3.61,,,,
638,0.36,3.61,,,,
640,0.36,3.61,,,,
642,0.36,3.61,,,,
644,0.36,3.61,,,,
646,0.36,3.61,,,,
648,0.36,3.61,,,,
650,0.36,3.612,,,,
652,0.36,3.615,,,,
654,0.36,3.616,,,,
656,0.36,3.616,,,,
658,0.36,3.616,,,,
